20250920162314 | LOG START
20250920162315 | active_id=0xca1196 | title=AHK remap script — Mozilla Firefox | WinActive=0xca1196 | WinExistMatch=0xca1196 | desired=active_by_WinActive
20250920162316 | active_id=0xca1196 | title=AHK remap script — Mozilla Firefox | WinActive=0xca1196 | WinExistMatch=0xca1196 | desired=active_by_WinActive
20250920162317 | active_id=0xca1196 | title=AHK remap script — Mozilla Firefox | WinActive=0xca1196 | WinExistMatch=0xca1196 | desired=active_by_WinActive
20250920162318 | active_id=0xca1196 | title=AHK remap script — Mozilla Firefox | WinActive=0xca1196 | WinExistMatch=0xca1196 | desired=active_by_WinActive
20250920162319 | active_id=0xca1196 | title=AHK remap script — Mozilla Firefox | WinActive=0xca1196 | WinExistMatch=0xca1196 | desired=active_by_WinActive
20250920162320 | active_id=0xca1196 | title=AHK remap script — Mozilla Firefox | WinActive=0xca1196 | WinExistMatch=0xca1196 | desired=active_by_WinActive
20250920162321 | active_id=0xca1196 | title=AHK remap script — Mozilla Firefox | WinActive=0xca1196 | WinExistMatch=0xca1196 | desired=active_by_WinActive
20250920162322 | active_id=0xca1196 | title=AHK remap script — Mozilla Firefox | WinActive=0xca1196 | WinExistMatch=0xca1196 | desired=active_by_WinActive
20250920162323 | active_id=0xca1196 | title=AHK remap script — Mozilla Firefox | WinActive=0xca1196 | WinExistMatch=0xca1196 | desired=active_by_WinActive
20250920162324 | active_id=0xca1196 | title=AHK remap script — Mozilla Firefox | WinActive=0xca1196 | WinExistMatch=0xca1196 | desired=active_by_WinActive
20250920162325 | active_id=0x1580c76 | title=Helldivers 2 Auto RunStrat | WinActive=0x0 | WinExistMatch=0x0 | desired=inactive
20250920162326 | active_id=0x1580c76 | title=Helldivers 2 Auto RunStrat | WinActive=0x0 | WinExistMatch=0x0 | desired=inactive
20250920162327 | active_id=0x1580c76 | title=Helldivers 2 Auto RunStrat | WinActive=0x0 | WinExistMatch=0x0 | desired=inactive
20250920162327 | stopped by user (ESC)
